DetId/U, BinaryDetId/B, Section/C, Layer/I, Ring/I, SensorCenter rho(mm), SensorCenter z(mm), tiltAngle_deg/D, skewAngle_deg/D, yawAngle_deg/D, phi_deg/D, vtxOneX_mm/D, vtxOneY_mm/D,vtxTwoX_mm/D,vtxTwoY_mm/D,vtxThreeX_mm/D,vtxThreeY_mm/D,vtxFourX_mm/D,vtxFourY_mm/D, meanWidth_mm/D, length_mm/D, sensorSpacing_mm/D, sensorThickness_mm/D
441201688,00011010010011000011010000011000,TB2S, 1, 7, 700.550000, -637.368332, 0.000000, 0.000000, 0.000000, 90.000000, -45.720001, 700.550000, -45.720001, 700.550000, 45.720001, 700.550000, 45.720001, 700.550000, 91.440000, 100.500000, 1.800000, 0.290000
441201684,00011010010011000011010000010100,TB2S, 1, 8, 705.050000, -739.387827, 0.000000, 0.000000, 0.000000, 90.000000, -45.720001, 705.050000, -45.720001, 705.050000, 45.720001, 705.050000, 45.720001, 705.050000, 91.440000, 100.500000, 1.800000, 0.290000
441201680,00011010010011000011010000010000,TB2S, 1, 9, 700.550000, -830.387827, 0.000000, 0.000000, 0.000000, 90.000000, -45.720001, 700.550000, -45.720001, 700.550000, 45.720001, 700.550000, 45.720001, 700.550000, 91.440000, 100.500000, 1.800000, 0.290000
441201676,00011010010011000011010000001100,TB2S, 1, 10, 705.050000, -932.882198, 0.000000, 0.000000, 0.000000, 90.000000, -45.720001, 705.050000, -45.720001, 705.050000, 45.720001, 705.050000, 45.720001, 705.050000, 91.440000, 100.500000, 1.800000, 0.290000
441201672,00011010010011000011010000001000,TB2S, 1, 11, 700.550000, -1023.543489, 0.000000, 0.000000, 0.000000, 90.000000, -45.720001, 700.550000, -45.720001, 700.550000, 45.720001, 700.550000, 45.720001, 700.550000, 91.440000, 100.500000, 1.800000, 0.290000
441201668,00011010010011000011010000000100,TB2S, 1, 12, 705.050000, -1126.513071, 0.000000, 0.000000, 0.000000, 90.000000, -45.720001, 705.050000, -45.720001, 705.050000, 45.720001, 705.050000, 45.720001, 705.050000, 91.440000, 100.500000, 1.800000, 0.290000
441202740,00011010010011000011100000110100,TB2S, 1, 1, 673.450000, 52.800359, 0.000000, 0.000000, 0.000000, 97.500000, -133.231724, 661.720884, -133.231724, 661.720884, -42.574004, 673.656200, -42.574004, 673.656200, 91.440000, 100.500000, 1.800000, 0.290000
441202744,00011010010011000011100000111000,TB2S, 1, 2, 668.950000, 151.683666, 0.000000, 0.000000, 0.000000, 97.500000, -132.644357, 657.259382, -132.644357, 657.259382, -41.986636, 669.194698, -41.986636, 669.194698, 91.440000, 100.500000, 1.800000, 0.290000
441202748,00011010010011000011100000111100,TB2S, 1, 3, 673.450000, 252.508256, 0.000000, 0.000000, 0.000000, 97.500000, -133.231724, 661.720884, -133.231724, 661.720884, -42.574004, 673.656200, -42.574004, 673.656200, 91.440000, 100.500000, 1.800000, 0.290000
441202752,00011010010011000011100001000000,TB2S, 1, 4, 668.950000, 349.525825, 0.000000, 0.000000, 0.000000, 97.500000, -132.644357, 657.259382, -132.644357, 657.259382, -41.986636, 669.194698, -41.986636, 669.194698, 91.440000, 100.500000, 1.800000, 0.290000
441202756,00011010010011000011100001000100,TB2S, 1, 5, 673.450000, 450.837156, 0.000000, 0.000000, 0.000000, 97.500000, -133.231724, 661.720884, -133.231724, 661.720884, -42.574004, 673.656200, -42.574004, 673.656200, 91.440000, 100.500000, 1.800000, 0.290000
441202760,00011010010011000011100001001000,TB2S, 1, 6, 668.950000, 546.001871, 0.000000, 0.000000, 0.000000, 97.500000, -132.644357, 657.259382, -132.644357, 657.259382, -41.986636, 669.194698, -41.986636, 669.194698, 91.440000, 100.500000, 1.800000, 0.290000
441202764,00011010010011000011100001001100,TB2S, 1, 7, 673.450000, 647.796582, 0.000000, 0.000000, 0.000000, 97.500000, -133.231724, 661.720884, -133.231724, 661.720884, -42.574004, 673.656200, -42.574004, 673.656200, 91.440000, 100.500000, 1.800000, 0.290000
441202768,00011010010011000011100001010000,TB2S, 1, 8, 668.950000, 740.796582, 0.000000, 0.000000, 0.000000, 97.500000, -132.644357, 657.259382, -132.644357, 657.259382, -41.986636, 669.194698, -41.986636, 669.194698, 91.440000, 100.500000, 1.800000, 0.290000
441202772,00011010010011000011100001010100,TB2S, 1, 9, 673.450000, 843.070536, 0.000000, 0.000000, 0.000000, 97.500000, -133.231724, 661.720884, -133.231724, 661.720884, -42.574004, 673.656200, -42.574004, 673.656200, 91.440000, 100.500000, 1.800000, 0.290000
441202776,00011010010011000011100001011000,TB2S, 1, 10, 668.950000, 934.070536, 0.000000, 0.000000, 0.000000, 97.500000, -132.644357, 657.259382, -132.644357, 657.259382, -41.986636, 669.194698, -41.986636, 669.194698, 91.440000, 100.500000, 1.800000, 0.290000
441202780,00011010010011000011100001011100,TB2S, 1, 11, 673.450000, 1036.819992, 0.000000, 0.000000, 0.000000, 97.500000, -133.231724, 661.720884, -133.231724, 661.720884, -42.574004, 673.656200, -42.574004, 673.656200, 91.440000, 100.500000, 1.800000, 0.290000
441202784,00011010010011000011100001100000,TB2S, 1, 12, 668.950000, 1126.510262, 0.000000, 0.000000, 0.000000, 97.500000, -132.644357, 657.259382, -132.644357, 657.259382, -41.986636, 669.194698, -41.986636, 669.194698, 91.440000, 100.500000, 1.800000, 0.290000
441202736,00011010010011000011100000110000,TB2S, 1, 1, 668.950000, -47.069504, 0.000000, 0.000000, 0.000000, 97.500000, -132.644357, 657.259382, -132.644357, 657.259382, -41.986636, 669.194698, -41.986636, 669.194698, 91.440000, 100.500000, 1.800000, 0.290000
441202732,00011010010011000011100000101100,TB2S, 1, 2, 673.450000, -147.636717, 0.000000, 0.000000, 0.000000, 97.500000, -133.231724, 661.720884, -133.231724, 661.720884, -42.574004, 673.656200, -42.574004, 673.656200, 91.440000, 100.500000, 1.800000, 0.290000
441202728,00011010010011000011100000101000,TB2S, 1, 3, 668.950000, -245.634031, 0.000000, 0.000000, 0.000000, 97.500000, -132.644357, 657.259382, -132.644357, 657.259382, -41.986636, 669.194698, -41.986636, 669.194698, 91.440000, 100.500000, 1.800000, 0.290000
